Method,Train Time (s),Train Time (min),Test Accuracy
Linear SVM,62.36446952819824,1.0394078254699708,0.4027
RBF SVM,295.2400732040405,4.920667886734009,0.5614
Polynomial SVM,241.40599036216736,4.02343317270279,0.4668
1-NN,0.0062901973724365234,0.00010483662287394205,0.3861
3-NN,0.007234811782836914,0.00012058019638061523,0.3663
Nearest Centroid,0.07320332527160645,0.0012200554211934409,0.2807
MLP,8.17347264289856,0.13622454404830933,0.5013
