Subset Size,Linear Time (s),Linear Acc,RBF Time (s),RBF Acc
1000,0.268627405166626,0.2844,0.13229155540466309,0.3601
5000,0.8953506946563721,0.3707,1.7020573616027832,0.4411
10000,2.8200149536132812,0.3802,6.483971357345581,0.4737
