epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,0.08142292094590609,0.06413615518808365,58.2157802758093,65.7179049744898
2,0.05772549396324539,0.04995380014181137,67.4202190173361,69.6793792517007
3,0.04618454364593245,0.043069295823574064,71.94684302728639,73.38096832482996
4,0.03988024733338644,0.03682634927332401,74.55245634832545,75.7664487670068
5,0.03477767345761851,0.033110585192839305,76.75617704897233,77.60075999149659
6,0.031889491623555366,0.030756003295381865,78.09457423899849,78.63987032312929
7,0.029667418225143984,0.028866027638316156,79.17421263298837,79.74548788265307
8,0.02803638758432272,0.02751723397274812,80.08520487457874,80.37895408163268
9,0.02689072773270772,0.026675210773944854,80.62938527431399,80.68098426870746
10,0.026052427860258104,0.025880641251802443,81.00947188100379,81.19013073979596
11,0.025396468650490098,0.02545602949957053,81.31273122870361,81.6385522959184
12,0.024749553856666516,0.024708441530664763,81.58846402404204,81.64386160714291
13,0.02404354963961122,0.023932744552691777,81.86878457810741,81.80095131802717
14,0.0230899208968052,0.02299651706715425,82.3263073130007,82.52953337585032
15,0.02212396339508399,0.021898489957054457,82.806567065103,83.09783694727889
16,0.021180036317285805,0.021081533387303352,83.31991461104867,83.55612776360547
17,0.020429199885702683,0.02037561017771562,83.76379796756623,83.86774553571433
18,0.01979599929485821,0.01988066503405571,84.1040036407548,84.276419005102
19,0.01927147963668218,0.019371706870694956,84.39185364143428,84.46684204931968
20,0.018788979486372075,0.018974868011971315,84.64186879236605,84.68548575680276
21,0.018395513656746007,0.018608059580127397,84.86241396536407,84.84980335884359
22,0.018031198478454382,0.018330114267766477,85.0475137462846,85.08008078231295
23,0.017702589749456193,0.018009938920537632,85.22618854102475,85.2100552721088
24,0.017409115808074683,0.017704801561931768,85.3746004118788,85.35066432823113
25,0.017122645921952243,0.017442508903642497,85.53427636318727,85.5462053571428
26,0.016853208355870276,0.017265960534413656,85.67664556108855,85.6318983843537
27,0.016596148379451427,0.01705527008573214,85.82021479773081,85.76179315476183
28,0.016334790256714735,0.016745796263217927,85.95373769234611,85.96470025510207
29,0.016062947213451244,0.016513778172433376,86.10606473384202,86.00746173469389
30,0.015813889089462282,0.0162821138103803,86.22454997485221,86.23661777210889
31,0.015550970324839517,0.016101319499313833,86.3738963891507,86.30795599489798
32,0.015297950429057778,0.015992272682487964,86.50520682296015,86.37693983843536
33,0.015091238152996685,0.015622600766519706,86.61468646350643,86.51163371598642
34,0.014880610047632805,0.015408140833179157,86.73231857962988,86.72387329931973
35,0.014654691956381498,0.015256779966255029,86.84927102779379,86.75322066326531
36,0.014440512335917137,0.015000926785171032,86.9592745790589,86.88954081632653
37,0.014239756284582678,0.014892432781557241,87.07694209455536,86.96248405612245
38,0.014041547567565425,0.014660222177704175,87.18248886477322,87.1412149234693
39,0.013863191415504494,0.014517027077575524,87.28192924316697,87.20338010204085
40,0.013682133524776246,0.014431272432208061,87.37049139427087,87.25357674319731
41,0.013516471109172697,0.014226380934317906,87.46212621094175,87.31251594387757
42,0.013355033081785823,0.014119287324448426,87.54784579240227,87.40656887755111
43,0.013196316469943757,0.013913304957250754,87.62784129526597,87.4731558248299
44,0.013022976892720743,0.013785680587093035,87.72176999130018,87.59686968537409
45,0.012850607166374449,0.013672653650244077,87.81553231028191,87.69986181972786
46,0.01266511769710542,0.01341600854943196,87.90679189360031,87.6989211309524
47,0.01250671692768221,0.013211567535996437,87.99716295265898,87.83204719387753
48,0.012317428013002153,0.013071207605302334,88.09202619213752,87.91946215986394
49,0.012151114548329879,0.012869536109268666,88.17822366513211,88.08770195578226
50,0.011978770192666228,0.012736370931069056,88.28437930456379,88.14711947278906
